"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-COMBINED GENDER BY RACE INDICATOR","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"2 - More than 30 days ago but within the past 12 mos","2 - Female, White, Not Hisp","0","0","0","0","0.273","0.0236","0.228","0.323","0.001","0.0001","0.001","0.001","29000","158","3000"
"3 - More than 12 months ago","2 - Female, White, Not Hisp","0.004","0.0002","0.003","0.004","0.279","0.0107","0.258","0.301","0.012","0.0005","0.011","0.013","283000","1022","12000"
"8 - At some point in the past 12 months LOG ASSN","2 - Female, White, Not Hisp","0","0","0","0","0.172","0.1108","0.042","0.498","0","0","0","0","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female, White, Not Hisp","0","0","0","0","0.104","0.1287","0.007","0.649","0","0","0","0","0","1","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female, White, Not Hisp","0","0","0","0","0.135","0.0938","0.03","0.439","0","0","0","0","2000","5","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female, White, Not Hisp","0.317","0.002","0.313","0.321","0.323","0.002","0.319","0.327","0.985","0.0006","0.984","0.986","23912000","84325","183000"
"97 - REFUSED","2 - Female, White, Not Hisp","0","0","0","0","0.329","0.0526","0.233","0.441","0.001","0.0001","0","0.001","16000","42","3000"
"98 - MISSING","2 - Female, White, Not Hisp","0","0","0","0","0.216","0.0643","0.114","0.371","0","0.0001","0","0.001","7000","29","3000"
"Overall","3 - Male, Black, Not Hisp","0.055","0.0008","0.054","0.057","0.055","0.0008","0.054","0.057","1","0","N/A","N/A","4161000","16419","65000"
"1 - Within the past 30 days","3 - Male, Black, Not Hisp","0","0","0","0","0.032","0.0112","0.016","0.064","0.001","0.0003","0","0.002","4000","15","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - Male, Black, Not Hisp","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - Male, Black, Not Hisp","0","0","0","0","0.067","0.0258","0.03","0.141","0.002","0.0007","0.001","0.004","7000","17","3000"
"3 - More than 12 months ago","3 - Male, Black, Not Hisp","0.001","0.0001","0.001","0.001","0.053","0.0056","0.043","0.065","0.013","0.0014","0.01","0.016","54000","106","6000"
"8 - At some point in the past 12 months LOG ASSN","3 - Male, Black, Not Hisp","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","3 - Male, Black, Not Hisp","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - Male, Black, Not Hisp","0","0","0","0","0.104","0.0688","0.026","0.339","0","0.0002","0","0.001","1000","4","1000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - Male, Black, Not Hisp","0.054","0.0008","0.053","0.056","0.055","0.0008","0.054","0.057","0.982","0.0016","0.978","0.985","4084000","16226","62000"
"97 - REFUSED","3 - Male, Black, Not Hisp","0","0","0","0","0.1","0.0317","0.052","0.184","0.001","0.0004","0.001","0.002","5000","21","2000"
"98 - MISSING","3 - Male, Black, Not Hisp","0","0","0","0","0.167","0.0425","0.098","0.271","0.001","0.0003","0.001","0.002","6000","30","1000"
"Overall","4 - Female, Black, Not Hisp","0.065","0.0011","0.063","0.067","0.065","0.0011","0.063","0.067","1","0","N/A","N/A","4915000","19679","87000"
"1 - Within the past 30 days","4 - Female, Black, Not Hisp","0","0","0","0","0.011","0.0064","0.004","0.035","0","0.0002","0","0.001","1000","5","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - Female, Black, Not Hisp","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","4 - Female, Black, Not Hisp","0","0","0","0","0.017","0.0079","0.007","0.043","0","0.0002","0","0.001","2000","8","1000"
"3 - More than 12 months ago","4 - Female, Black, Not Hisp","0","0","0","0","0.008","0.0024","0.005","0.015","0.002","0.0005","0.001","0.003","8000","29","2000"
"8 - At some point in the past 12 months LOG ASSN","4 - Female, Black, Not Hisp","0","0","0","0","0.346","0.2873","0.04","0.871","0","0","0","0","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","4 - Female, Black, Not Hisp","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - Female, Black, Not Hisp","0","0","0","0","0.017","0.0111","0.005","0.061","0","0","0","0","0","3","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - Female, Black, Not Hisp","0.065","0.0011","0.063","0.067","0.066","0.0012","0.064","0.068","0.996","0.0007","0.995","0.998","4897000","19606","87000"
"97 - REFUSED","4 - Female, Black, Not Hisp","0","0","0","0","0.103","0.0356","0.05","0.199","0.001","0.0004","0","0.002","5000","18","2000"
"98 - MISSING","4 - Female, Black, Not Hisp","0","0","0","0","0.034","0.0155","0.014","0.083","0","0.0001","0","0.001","1000","9","1000"
"Overall","5 - Male, Hispanic","0.084","0.0011","0.081","0.086","0.084","0.0011","0.081","0.086","1","0","N/A","N/A","6311000","24881","85000"
"1 - Within the past 30 days","5 - Male, Hispanic","0","0","0","0","0.077","0.0201","0.045","0.128","0.001","0.0004","0.001","0.003","9000","41","3000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - Male, Hispanic","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - Male, Hispanic","0","0","0","0","0.083","0.0295","0.04","0.165","0.001","0.0005","0.001","0.003","9000","30","3000"
"3 - More than 12 months ago","5 - Male, Hispanic","0.001","0.0001","0.001","0.001","0.059","0.0063","0.048","0.073","0.01","0.0011","0.008","0.012","60000","172","7000"
"8 - At some point in the past 12 months LOG ASSN","5 - Male, Hispanic","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","5 - Male, Hispanic","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - Male, Hispanic","0","0","0","0","0.284","0.1404","0.09","0.613","0.001","0.0003","0","0.002","3000","8","2000"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - Male, Hispanic","0.082","0.0011","0.08","0.085","0.084","0.0011","0.082","0.086","0.986","0.0015","0.983","0.989","6223000","24594","84000"
"97 - REFUSED","5 - Male, Hispanic","0","0","0","0","0.089","0.0337","0.041","0.184","0.001","0.0002","0","0.001","4000","19","2000"
"98 - MISSING","5 - Male, Hispanic","0","0","0","0","0.054","0.0177","0.027","0.103","0","0.0001","0","0.001","2000","17","1000"
"Overall","6 - Female, Hispanic","0.084","0.0012","0.082","0.087","0.084","0.0012","0.082","0.087","1","0","N/A","N/A","6341000","27514","96000"
"1 - Within the past 30 days","6 - Female, Hispanic","0","0","0","0","0.046","0.0116","0.027","0.076","0.001","0.0002","0.001","0.002","6000","25","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - Female, Hispanic","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - Female, Hispanic","0","0","0","0","0.026","0.0069","0.016","0.044","0","0.0001","0","0.001","3000","17","1000"
"3 - More than 12 months ago","6 - Female, Hispanic","0","0.0001","0","0.001","0.032","0.0052","0.023","0.044","0.005","0.0008","0.004","0.007","33000","109","5000"
"8 - At some point in the past 12 months LOG ASSN","6 - Female, Hispanic","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","6 - Female, Hispanic","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Female, Hispanic","0","0","0","0","0.026","0.0232","0.004","0.143","0","0","0","0","0","2","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Female, Hispanic","0.083","0.0012","0.081","0.086","0.085","0.0012","0.082","0.087","0.992","0.001","0.99","0.994","6292000","27325","96000"
"97 - REFUSED","6 - Female, Hispanic","0","0","0","0","0.089","0.0293","0.045","0.168","0.001","0.0002","0","0.001","4000","22","2000"
"98 - MISSING","6 - Female, Hispanic","0","0","0","0","0.094","0.0417","0.037","0.217","0.001","0.0002","0","0.001","3000","14","2000"
"Overall","7 - Male or Female, Other Races","0.084","0.001","0.082","0.086","0.084","0.001","0.082","0.086","1","0","N/A","N/A","6317000","29379","78000"
"1 - Within the past 30 days","7 - Male or Female, Other Races","0","0","0","0","0.042","0.0094","0.027","0.066","0.001","0.0002","0.001","0.001","5000","44","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Male or Female, Other Races","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Male or Female, Other Races","0","0","0","0","0.062","0.0148","0.038","0.099","0.001","0.0003","0.001","0.002","7000","54","2000"
"3 - More than 12 months ago","7 - Male or Female, Other Races","0.001","0.0001","0.001","0.001","0.046","0.0044","0.038","0.055","0.007","0.0007","0.006","0.009","46000","254","4000"
"8 - At some point in the past 12 months LOG ASSN","7 - Male or Female, Other Races","0","0","0","0","0.171","0.1748","0.017","0.71","0","0","0","0","0","1","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","7 - Male or Female, Other Races","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Male or Female, Other Races","0","0","0","0","0.024","0.0231","0.004","0.15","0","0","0","0","0","2","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Male or Female, Other Races","0.083","0.001","0.081","0.085","0.084","0.001","0.082","0.086","0.989","0.0008","0.988","0.991","6250000","28965","79000"
"97 - REFUSED","7 - Male or Female, Other Races","0","0","0","0","0.098","0.0312","0.051","0.181","0.001","0.0002","0","0.001","5000","24","2000"
"98 - MISSING","7 - Male or Female, Other Races","0","0","0","0","0.125","0.0356","0.07","0.216","0.001","0.0002","0","0.001","4000","35","1000"
